OBJECTID,ZIP,FILENUM,UOFNum,OCCURRED_D,OCCURRED_T,CURRENT_BA,OffSex,OffRace,HIRE_DT,OFF_INJURE,OffCondTyp,OFF_HOSPIT,SERVICE_TY,ForceType,UOF_REASON,Cycles_Num,ForceEffec,STREET_N,STREET,street_g,street_t,Address,CitNum,CitRace,CitSex,CIT_INJURE,CitCondTyp,CIT_ARREST,CIT_INFL_A,CitChargeT,Council District,RA,BEAT,SECTOR,DIVISION,X,Y,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer
2390,75201,UF2019-1444,61180,10/10/2019,1:00 AM,9324,Male,Hispanic,11/28/2007,false,No injuries noted or visible,false,Other ( In Narrative),Foot Pursuit,Other,NULL,Yes,2114,McKinney,NULL,Ave.,2114 McKinney Ave.,60252,White,Male,false,No injuries noted or visible,true,None detected,"Evading Arrest, Theft",D14,2042,121,120,CENTRAL,2489889.613,6975219.498,POINT (-96.803135 32.792042),12,3
2311,75227,UF2019-1387,61530,10/20/2019,4:00 AM,8076,Male,Hispanic,07/06/2001,false,No injuries noted or visible,false,Arrest,BD - Grabbed,Other,NULL,Yes,8008,Military,NULL,Pkwy.,8008 Military Pkwy.,44813,Black,Male,false,No injuries noted or visible,true,Agitated,Assault/FV,D5,1236,321,320,SOUTHEAST,2526561.567,6967782.673,POINT (-96.683681 32.769459),5,3
6,75246,UF2019-0004,"54293, 54294, 54295",01/03/2019,2:45 AM,10839,Male,White,06/18/2014,false,No injuries noted or visible,false,Other ( In Narrative),"Verbal Command, BD - Grabbed, BD - Grabbed",Other,NULL,"No, No, Yes",4400,Gaston,NULL,Ave.,4400 Gaston Ave.,57068,White,Male,false,No injuries noted or visible,true,Alchohol,Public Intoxication,D2,2035,116,110,CENTRAL,2498743.597,6976893.898,POINT (-96.774188 32.796107),2,3
2798,75231,UF2019-1692,"62079, 62080",11/21/2019,7:45 PM,11586,Male,Asian,09/19/2018,false,No injuries noted or visible,false,Service Call,"Hand Controlled Escort, Verbal Command",Arrest,NULL,"Yes, No",7222,Fair Oaks,NULL,Ave.,7222 Fair Oaks Ave.,60715,Asian,Male,false,No injuries noted or visible,true,Mentally unstable,"Assault/FV, Resisting Search and Transport",D13,4527,217,210,NORTHEAST,2503732.481,7005415.468,POINT (-96.755786 32.8748),11,3
1194,75215,UF2019-0760,56684,04/13/2019,5:48 PM,10847,Male,Hispanic,06/18/2014,false,No injuries noted or visible,false,Arrest,Take Down - Group,Arrest,NULL,Yes,2900,Gould,NULL,St.,2900 Gould St.,58184,Black,Female,false,No injuries noted or visible,true,Unknown Drugs,"Assault/Public Servant, Assault",D7,2156,341,340,SOUTHEAST,2496999.728,6963853.862,POINT (-96.780726 32.760303),7,3
253,75204,UF2019-0168,"55582, 55583, 55584",02/27/2019,5:13 PM,10907,Male,Hispanic,10/22/2014,false,No injuries noted or visible,false,Pedestrian Stop,"Verbal Command, Foot Pursuit, Held Suspect Down",Detention/Frisk,NULL,"No, No, Yes",900,Central Service Rd,N,Expwy.,900 N Central Service Rd Expwy.,48733,Black,Male,false,No injuries noted or visible,true,None detected,"Evading Arrest, Warrant/Hold",D14,2025,154,150,CENTRAL,2493360.139,6974728.888,POINT (-96.79165 32.789828),12,3
2877,75231,UF2019-1759,62040,11/19/2019,6:19 PM,11046,Male,White,07/01/2015,false,No injuries noted or visible,false,Service Call,Weapon display at Person,Weapon Display,NULL,Yes,7324,SKILLMAN,NULL,St.,7324 SKILLMAN St.,606926069360694,Hispanic,Male,false,No injuries noted or visible,true,Unknown Drugs,Crim Trespass/Hab/Weapon,D10,1074,245,240,NORTHEAST,2510394.669,7008095.158,POINT (-96.734775 32.880579),9,3
1831,75201,UF2019-1138,"56751, 56752",04/14/2019,9:30 PM,9098,Male,White,04/18/2007,true,"Abrasion/Scrape, Redness/Swelling",false,Off-Duty Employment,"Take Down - Body, Held Suspect Down",Arrest,NULL,"Yes, Yes",3005,Routh,NULL,St.,3005 Routh St.,58225,Black,Male,false,No injuries noted or visible,true,Alchohol,"Assault/Public Servant, Resisting Arrest, Other Felony Arrest",D14,2037,122,120,CENTRAL,2489123.337,6978034.036,POINT (-96.805444 32.799585),12,3
2676,75204,UF2019-1622,61745,11/05/2019,12:57 AM,11454,Male,American Ind,02/07/2018,false,No injuries noted or visible,false,Arrest,Weapon display at Person,Danger to self or others,NULL,Yes,4406,Lafayette,NULL,St.,4406 Lafayette St.,60535,Black,Male,false,No injuries noted or visible,true,Mentally unstable,APOWW,D2,2012,155,150,CENTRAL,2495722.306,6979990.098,POINT (-96.783812 32.804772),2,3
1579,75243,UF2019-0976,"59277, 59278, 59279, 59280",07/21/2019,5:10 AM,11224,Male,White,09/21/2016,false,No injuries noted or visible,false,Service Call,"Verbal Command, Take Down - Arm, BD - Pushed, Held Suspect Down",Active Aggression,NULL,"No, Yes, Yes, Yes",9001,Markville,NULL,Dr.,9001 Markville Dr.,59348,Black,Male,false,No injuries noted or visible,false,Alchohol,No Arrest,D10,1030,252,250,NORTHEAST,2505382.202,7020722.7,POINT (-96.749259 32.91466),9,3
469,75247,UF2019-0305,"55911, 55912, 55913, 55915, 55917",03/13/2019,1:50 AM,9895,Male,White,07/08/2009,false,No injuries noted or visible,false,Arrest,"Verbal Command, BD - Grabbed, Joint Locks, Taser Display at Person, Held Suspect Down",Active Aggression,NULL,"No, No, Yes, No, Yes",1010,Mockingbird,W,Ln.,1010 W Mockingbird Ln.,25326,White,Male,false,No injuries noted or visible,true,Unknown Drugs,"Burglary/Building, Resisting Arrest",D6,3099,512,510,NORTHWEST,2468394.936,6983510.83,POINT (-96.872632 32.815621),6,3
355,75231,UF2019-0227,55699,03/02/2019,8:14 PM,11424,Male,White,11/29/2017,false,No injuries noted or visible,false,Crime in Progress,Weapon display at Person,Weapon Display,NULL,Yes,5900,Melody,NULL,Ln.,5900 Melody Ln.,57681,Black,Male,false,No injuries noted or visible,true,None detected,"Robbery, Other Misdemeanor Arrest",D13,4529,215,210,NORTHEAST,2501825.067,7003863.68,POINT (-96.762868 32.870023),11,3
1923,75210,UF2019-1192,"60264, 60265, 60266",09/03/2019,2:03 PM,9069,Female,White,03/21/2007,false,No injuries noted or visible,false,Other ( In Narrative),"Joint Locks, Pressure Points, Verbal Command",Danger to self or others,NULL,"Yes, Yes, No",4100,Elsie Faye Heggins,NULL,St.,4100 Elsie Faye Heggins St.,59836,Black,Male,false,No injuries noted or visible,true,Agitated,Other Agency Arrest,D7,2122,313,310,SOUTHEAST,2509182.868,6966388.997,POINT (-96.740903 32.76689),7,3
2903,75243,UF2019-1772,"62668, 63666",12/20/2019,4:43 PM,11495,Male,Hispanic,04/18/2018,false,No injuries noted or visible,false,Service Call,"Weapon display at Person, Foot Pursuit",Arrest,NULL,"Yes, Yes",9900,Adleta,NULL,Blvd.,9900 Adleta Blvd.,54810,Black,Male,false,No injuries noted or visible,true,None detected,Evading Arrest,D10,1042,257,250,NORTHEAST,2516629.742,7015321.711,POINT (-96.711883 32.901124),9,3
1319,75228,UF2019-0831,58087,06/05/2019,7:10 PM,10602,Male,Hispanic,04/08/2014,false,No injuries noted or visible,false,Traffic Stop,Foot Pursuit,Detention/Frisk,NULL,Yes,3499,Highland,NULL,Rd.,3499 Highland Rd.,58823,Black,Male,false,No injuries noted or visible,true,None detected,"Evading Arrest, Fail to ID, Other Misdemeanor Arrest",D7,1204,238,230,NORTHEAST,2523794.48,6977825.726,POINT (-96.692912 32.797299),7,3
596,75287,UF2019-0397,"56385, 56386",04/01/2019,1:02 AM,9260,Male,Hispanic,09/26/2007,false,No injuries noted or visible,false,Arrest,"Weapon display at Person, Verbal Command",Arrest,NULL,"Yes, Yes",4500,Sojourn,NULL,Dr.,4500 Sojourn Dr.,58012,White,Male,false,No injuries noted or visible,true,None detected,"Warrant/Hold, Assault, Other Felony Arrest",D12,6059,613,610,NORTH CENTRAL,2476179.198,7049514.318,,,
779,75227,UF2019-0508,57666,05/03/2019,9:56 AM,5541,Male,White,04/01/1991,false,No injuries noted or visible,false,Crime in Progress,Weapon display at Person,Arrest,NULL,Yes,3916,Mullins,NULL,Ln.,3916 Mullins Ln.,584525845358454584565845758458,Hispanic,Male,false,No injuries noted or visible,true,Marijuana,"Theft, Drug Possession - Felony",D7,1231,323,320,SOUTHEAST,2532814.757,6968613.263,POINT (-96.66389800000002 32.771668),7,3
2809,75236,UF2019-1699,62220,11/28/2019,3:18 PM,9417,Female,White,04/12/2006,false,Vision Impaired,false,Arrest,K-9 Deployment,Arrest,NULL,Yes,3800,TX Spur 408,NULL,Hwy.,3800 TX Spur 408 Hwy.,45915,Black,Male,true,"Bite, Bloody Nose",true,Alchohol and unknown drugs,"Assault/Public Servant, Evading Arrest, Resisting Arrest, Other Felony Arrest",D3,4311,433,430,SOUTHWEST,2449791.177,6940199.305,,,
638,75210,UF2019-0422,57299,05/03/2019,NULL,8143,Female,White,11/30/2001,false,No injuries noted or visible,false,Off-Duty Employment,BD - Grabbed,Other,NULL,Yes,1800,1st,NULL,Ave.,1800 1st Ave.,58480,Hispanic,Male,false,No injuries noted or visible,false,NULL,No Arrest,D7,2099,115,110,CENTRAL,2503961.392,6969161.194,POINT (-96.757883 32.774672),7,3
243,75201,UF2019-0153,"54510, 54511, 54512",01/11/2019,4:27 AM,9809,Male,Black,04/15/2009,false,No injuries noted or visible,false,Service Call,"Weapon display at Person, Verbal Command, Held Suspect Down",Weapon Display,NULL,"No, No, Yes",600,Crockett,NULL,St.,600 Crockett St.,37588,Black,Male,false,No injuries noted or visible,true,Unknown Drugs,"Public Intoxication, Criminal Mischief",D14,2030,132,130,CENTRAL,2492666.604,6973485.4,POINT (-96.794173 32.786856),12,3
1899,75229,UF2019-1178,"59876, 59877",08/14/2019,12:00 AM,9770,Male,White,03/18/2009,false,No injuries noted or visible,false,Other ( In Narrative),"Verbal Command, Held Suspect Down",Detention/Frisk,NULL,"No, Yes",2800,Jerridee,NULL,Cir.,2800 Jerridee Cir.,58845,Hispanic,Male,false,Injury Not Related to Force,false,None detected,No Arrest,D6,3015,552,550,NORTHWEST,2464636.544,7015266.887,POINT (-96.883914 32.902987),6,3
2103,75243,UF2019-1311,60832,09/25/2019,7:55 PM,10506,Male,White,04/10/2013,false,No injuries noted or visible,false,Arrest,Held Suspect Down,Active Aggression,NULL,Yes,9519,Forest,NULL,Ln.,9519 Forest Ln.,60109,Hispanic,Male,false,No injuries noted or visible,true,Alchohol and unknown drugs,Disorderly Conduct,D10,9603,253,250,NORTHEAST,2511649.912,7018307.475,POINT (-96.729997 32.909202),9,3
171,75243,UF2019-0104,56040,02/06/2019,4:33 PM,10903,Male,White,10/08/2014,false,No injuries noted or visible,false,Service Call,Weapon display at Person,Weapon Display,NULL,No,9519,Forest,NULL,Ln.,9519 Forest Ln.,57423,White,Male,true,Abrasion/Scrape,true,None detected,"Assault, Robbery, Assault/FV",D10,9603,253,250,NORTHEAST,2511649.912,7018307.475,POINT (-96.729997 32.909202),9,3
1198,75226,UF2019-0762,58328,06/15/2019,10:06 PM,10904,Male,Black,10/08/2014,false,No injuries noted or visible,false,Arrest,Foot Pursuit,Detention/Frisk,NULL,No,100,Prairie,S,St.,100 S Prairie St.,58923,Hispanic,Male,true,Abrasion/Scrape,true,Unknown Drugs,"Drug Possession - Felony, Evading Arrest, Warrant/Hold, Resisting Arrest",D2,2046,113,110,CENTRAL,2501756.156,6976293.121,,,
1876,75208,UF2019-1164,"61108, 61109, 61110, 61111, 61112",06/15/2019,12:45 AM,8709,Male,Black,09/07/2005,true,"Bruise, Laceration/Cut, Abrasion/Scrape",true,Off-Duty Employment,"Take Down - Body, Hand/Arm/Elbow Strike, Hand/Arm/Elbow Strike, OC Spray, LVNR",Active Aggression,NULL,"Yes, Yes, Yes, Yes, Yes",303,Davis,W,St.,303 W Davis St.,58918,Hispanic,Male,true,"Abrasion/Scrape, Bloody Nose, Laceration/Cut",true,NULL,Assault/Public Servant,D1,4104,413,410,SOUTHWEST,2482902.848,6959697.387,POINT (-96.826956 32.749447),1,3
2759,75225,UF2019-1668,62722,12/26/2019,3:30 PM,9415,Male,White,04/02/2008,false,No injuries noted or visible,false,Arrest,Take Down - Arm,Arrest,NULL,Yes,8687,Central,N,Expwy.,8687 N Central Expwy.,61082,White,Male,false,No injuries noted or visible,true,Unknown Drugs,"Resisting Arrest, Theft",D13,6012,654,650,NORTH CENTRAL,2499512.557,7002979.497,POINT (-96.770691 32.86875),11,3
669,75206,UF2019-0444,56031,03/16/2019,5:45 PM,9182,Male,White,07/11/2007,false,No injuries noted or visible,false,Crime in Progress,Hand Controlled Escort,Arrest,NULL,Yes,5600,Vickery,NULL,Blvd.,5600 Vickery Blvd.,5783957840,White,Female,false,No injuries noted or visible,true,Alchohol,Other Misdemeanor Arrest,D14,1161,144,140,CENTRAL,2499230.245,6986490.073,POINT (-96.772275 32.822394),12,3
1502,75201,UF2019-0939,"58405, 58406",06/16/2019,4:30 PM,11288,Male,White,03/08/2017,false,No injuries noted or visible,false,Call for Cover,"40mm Less Lethal, Pressure Points",Arrest,1,"Yes, Yes",1600,Main,NULL,St.,1600 Main St.,58935,White,Male,true,Redness/Swelling,true,Unknown Drugs,"Disorderly Conduct, Evading Arrest, Resisting Arrest",D14,2062,134,130,CENTRAL,2491457.881,6971241.652,POINT (-96.798239 32.780858),12,3
2841,75201,UF2019-1715,62496,12/08/2019,7:15 PM,11488,Female,Black,02/21/2018,false,No injuries noted or visible,false,Off-Duty Incident,BD - Grabbed,Other,NULL,Yes,1707,San Jacinto,NULL,St.,1707 San Jacinto St.,787,NULL,NULL,false,No injuries noted or visible,false,Agitated,No Arrest,D14,2050,132,130,CENTRAL,2490799.108,6972788.881,POINT (-96.800181 32.785214),12,3
2044,75254,UF2019-1275,"59736, 59737, 59738, 59739, 59740",08/08/2019,9:30 PM,8862,Male,Hispanic,06/30/2006,false,No injuries noted or visible,false,Arrest,"BD - Grabbed, BD - Tripped, Verbal Command, Pressure Points, Take Down - Arm",Arrest,NULL,"No, Yes, No, No, Yes",5100,Belt Line,NULL,Rd.,5100 Belt Line Rd.,59563,White,Male,false,No injuries noted or visible,true,Alchohol and unknown drugs,DWI,D11,6005,625,620,NORTH CENTRAL,2483275.446,7034109.08,POINT (-96.821401 32.953954),10,3
714,75243,UF2019-0474,"56817, 56818",04/17/2019,8:10 PM,11051,Male,Hispanic,07/15/2015,false,No injuries noted or visible,false,Service Call,"Take Down - Body, Verbal Command",Detention/Frisk,NULL,"Yes, No",9230,Skillman,NULL,St.,9230 Skillman St.,58252,Black,Male,false,No injuries noted or visible,true,None detected,"Drug Possession - Misdemeanor, Evading Arrest",D10,1042,257,250,NORTHEAST,2516411.627,7016016.251,POINT (-96.713923 32.903275),9,3
1442,75215,UF2019-0906,59129,06/24/2019,9:15 AM,8586,Female,White,12/17/2004,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Danger to self or others,NULL,Yes,2811,Holmes,NULL,St.,2811 Holmes St.,28710,Black,Male,false,No injuries noted or visible,true,Mentally unstable,"Warrant/Hold, Evading Arrest",D7,2156,341,340,SOUTHEAST,2497128.658,6964620.997,POINT (-96.779877 32.762153),7,3
2912,75216,UF2019-1785,"61005, 61006, 61008",10/01/2019,5:05 PM,11376,Male,Black,09/06/2017,false,No injuries noted or visible,false,Arrest,"Held Suspect Down, Leg Restraint System, Verbal Command",Arrest,NULL,"Yes, Yes, No",1635,Fordham,NULL,Rd.,1635 Fordham Rd.,60174,Black,Female,false,No injuries noted or visible,true,Agitated,"Warrant/Hold, Resisting Arrest, Resisting Search and Transport, Assault",D4,4298,726,720,SOUTH CENTRAL,2491187.912,6940784.517,POINT (-96.799985 32.697462),4,3
1048,75236,UF2019-0675,"56062, 56063, 56064",03/19/2019,2:00 PM,11274,Male,White,02/08/2017,false,No injuries noted or visible,false,Arrest,"Held Suspect Down, Take Down - Body, Verbal Command",Active Aggression,NULL,"Yes, Yes, No",4700,Kiest,W,Blvd.,4700 W Kiest Blvd.,57857,Black,Female,false,No injuries noted or visible,true,None detected,"Drug Possession - Misdemeanor, Resisting Arrest",D3,4254,437,430,SOUTHWEST,2460233.87,6943409.187,POINT (-96.902819 32.705683),3,3
842,75226,UF2019-0547,57436,05/12/2019,2:11 AM,9267,Male,Hispanic,09/26/2007,false,No injuries noted or visible,false,Arrest,Take Down - Arm,Arrest,NULL,Yes,2800,Elm,NULL,St.,2800 Elm St.,18946,Black,Male,false,No injuries noted or visible,true,Alchohol and unknown drugs,"Disorderly Conduct, Public Intoxication",D2,2066,153,150,CENTRAL,2495971.013,6972719.986,POINT (-96.78361 32.784654),2,3
954,75228,UF2019-0615,"57536, 57537, 57538",05/15/2019,10:50 PM,11077,Male,White,09/09/2015,false,No injuries noted or visible,false,Arrest,"Verbal Command, Joint Locks, Held Suspect Down",Arrest,NULL,"No, Yes, Yes",2800,Weather Vane,NULL,Ln.,2800 Weather Vane Ln.,58578,Black,Male,true,"Bloody Nose, Abrasion/Scrape",true,Agitated,"Evading Arrest, Assault/Public Servant, Drug Possession - Felony, Fail to ID, Warrant/Hold",D9,1258,227,220,NORTHEAST,2531859.157,6999402.124,POINT (-96.665302 32.856367),13,3
599,75230,UF2019-0399,56389,04/02/2019,3:28 AM,11321,Male,Black,05/31/2017,false,No injuries noted or visible,false,Suspicious Activity,Weapon display at Person,Weapon Display,NULL,Yes,7500,Yamini,NULL,Dr.,7500 Yamini Dr.,58018,White,Male,false,No injuries noted or visible,true,None detected,Fail to ID,D11,1037,651,650,NORTH CENTRAL,2496896.753,7015702.687,POINT (-96.778318 32.902781),10,3
2094,75207,UF2019-1306,"59088, 59090, 59092, 59095, 59097",07/14/2019,4:21 AM,11234,Male,Asian,11/02/2016,false,No injuries noted or visible,false,Arrest,"Verbal Command, Joint Locks, Hand Controlled Escort, Held Suspect Down, Leg Restraint System",Arrest,NULL,"No, Yes, Yes, Yes, Yes",1005,Riverfront,S,Blvd.,1005 S Riverfront Blvd.,57047,Black,Male,false,No injuries noted or visible,true,Agitated,"Theft, Warrant/Hold, Resisting Search and Transport",D2,2102,151,150,CENTRAL,2490052.835,6965675.445,POINT (-96.802928 32.765578),2,3
1074,75215,UF2019-0692,55742,03/06/2019,3:09 AM,10814,Male,Black,05/07/2014,false,No injuries noted or visible,false,Arrest,OC Spray,Danger to self or others,NULL,Yes,1000,Austin,S,St.,1000 S Austin St.,57704,White,Female,true,"OC Spray Treatment, Redness/Swelling, Treated by DFD",true,Alchohol,Public Intoxication,D2,2103,151,150,CENTRAL,2490970.503,6967178.823,POINT (-96.799299 32.769047),2,3
643,75217,UF2019-0429,"55983, 55984, 55985, 55986",03/16/2019,12:00 AM,11489,Male,White,02/21/2018,true,Abrasion/Scrape,false,Service Call,"Feet/Leg/Knee Strike, Hand/Arm/Elbow Strike, Joint Locks, Held Suspect Down",Active Aggression,NULL,"Yes, Yes, No, Yes",9415,Bruton,NULL,Rd.,9415 Bruton Rd.,57822,Black,Male,false,No injuries noted or visible,true,Agitated,"Assault/Public Servant, Assault/FV, Resisting Search and Transport, Criminal Mischief",D7,1245,325,320,SOUTHEAST,2534163.265,6960310.852,POINT (-96.658581 32.74875000000001),5,3
2096,75236,UF2019-1307,60060,08/24/2019,6:38 PM,10756,Male,White,01/29/2014,false,No injuries noted or visible,false,Arrest,BD - Grabbed,Arrest,NULL,No,4880,Mountain Creek,NULL,Pkwy.,4880 Mountain Creek Pkwy.,59747,Black,Female,false,No injuries noted or visible,true,Mentally unstable,APOWW,D3,8803,433,430,SOUTHWEST,2439701.846,6931279.733,POINT (-96.967332 32.676054),3,3
76,75243,UF2019-0047,54601,01/15/2019,2:00 AM,9903,Male,White,07/08/2009,true,Laceration/Cut,false,Arrest,Weapon display at Person,Arrest,NULL,Yes,9205,Skillman,NULL,St.,9205 Skillman St.,40690,White,Male,false,No injuries noted or visible,true,Unknown Drugs,"Warrant/Hold, Resisting Arrest, Drug Possession - Felony",D10,1042,257,250,NORTHEAST,2516271.887,7016061.072,POINT (-96.716255 32.9029),9,3
550,75220,UF2019-0363,"55854, 55856, 55858, 55865",03/09/2019,2:15 PM,8225,Male,White,04/12/2002,false,No injuries noted or visible,false,Arrest,"Verbal Command, Hand Controlled Escort, Held Suspect Down, Take Down - Body",Active Aggression,NULL,"No, Yes, Yes, Yes",10110,Harry Hines,NULL,Blvd.,10110 Harry Hines Blvd.,57273,White,Male,true,Abrasion/Scrape,true,Mentally unstable,APOWW,D6,3057,521,520,NORTHWEST,2465708.212,6999807.91,POINT (-96.880678 32.86006),6,3
2896,75214,UF2019-1768,62432,12/08/2019,5:17 PM,11048,Male,White,07/15/2015,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Detention/Frisk,NULL,Yes,2144,Winsted,NULL,Dr.,2144 Winsted Dr.,53152,White,Male,false,No injuries noted or visible,true,Mentally unstable,"Evading Arrest, Warrant/Hold",D9,1168,234,230,NORTHEAST,2512732.857,6983725.769,POINT (-96.727539 32.813369),13,3
1072,75216,UF2019-0691,"57895, 57896",05/30/2019,5:10 PM,8133,Male,White,11/30/2001,false,No injuries noted or visible,false,Arrest,"Held Suspect Down, Taser",Arrest,NULL,"Yes, Yes",3500,Bonnie View,NULL,Rd.,3500 Bonnie View Rd.,58735,Black,Male,true,Puncture,true,Agitated,"Evading Arrest, Resisting Arrest, Other Misdemeanor Arrest, Drug Possession - Felony, Warrant/Hold",D4,4226,731,730,SOUTH CENTRAL,2498498.213,6947776.091,POINT (-96.77671 32.716064),4,3
668,75212,UF2019-0443,"55759, 55760",03/07/2019,9:05 PM,10636,Male,Black,08/14/2013,false,No injuries noted or visible,false,Other ( In Narrative),"Verbal Command, Hand Controlled Escort",Arrest,NULL,"No, Yes",3400,Pudget,NULL,St.,3400 Pudget St.,57718,Black,Female,false,No injuries noted or visible,true,Unknown,Other Misdemeanor Arrest,D6,4038,423,420,SOUTHWEST,2474512.925,6971947.932,POINT (-96.853398 32.783794),6,3
2838,75228,UF2019-1712,"62388, 62389, 62390, 62391, 62392, 62393, 62394, 62395",12/07/2019,2:40 AM,11242,Male,White,12/14/2016,false,No injuries noted or visible,false,Arrest,"Verbal Command, Joint Locks, Held Suspect Down, Take Down - Arm, Held Suspect Down, Hand Controlled Escort, Take Down - Head, BD - Pushed",Arrest,NULL,"No, Yes, Yes, Yes, Yes, Yes, Yes, Yes",8108,VALLEY GLEN,NULL,Dr.,8108 VALLEY GLEN Dr.,60880,Black,Female,false,"Injury Not Related to Force, Treated by DFD, Hospitalized",true,Agitated,Resisting Arrest,D9,1175,236,230,NORTHEAST,2517473.317,6980733.648,POINT (-96.711522 32.807161),13,3
2741,75231,UF2019-1659,61654,11/02/2019,6:45 PM,11506,Male,White,05/02/2018,false,No injuries noted or visible,false,Service Call,Weapon display at Person,Detention/Frisk,NULL,Yes,7152,FAIR OAKS,NULL,Ave.,7152 FAIR OAKS Ave.,605076050860509,Hispanic,Male,false,No injuries noted or visible,false,None detected,Warrant/Hold,D13,4527,217,210,NORTHEAST,2503597.375,7005280.181,POINT (-96.75787700000001 32.873098),11,3
2156,75211,UF2019-1335,60865,09/23/2019,1:20 AM,11600,Male,Hispanic,10/31/2018,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Arrest,NULL,Yes,3228,Grafton,NULL,Ave.,3228 Grafton Ave.,6006060061,Hispanic,Male,false,No injuries noted or visible,true,Agitated,Evading Arrest,D1,4158,441,440,SOUTHWEST,2468692.545,6952640.671,POINT (-96.87399 32.730665),1,3
877,75208,UF2019-0568,58648,05/14/2019,8:45 AM,7346,Male,Hispanic,12/08/1995,false,No injuries noted or visible,false,Arrest,Joint Locks,Arrest,NULL,Yes,511,Zang,S,St.,511 S Zang St.,58580,White,Male,false,No injuries noted or visible,true,Agitated,"Theft, Evading Arrest",D1,4141,446,440,SOUTHWEST,2483574.888,6956640.408,POINT (-96.824639 32.740954),1,3
1722,75220,UF2019-1069,"59369, 59370",07/23/2019,11:20 PM,10733,Male,Hispanic,01/29/2014,false,No injuries noted or visible,false,Arrest,"Verbal Command, Held Suspect Down",Arrest,NULL,"No, Yes",9440,Denton,N,Dr.,9440 N Denton Dr.,59390,Hispanic,Male,false,No injuries noted or visible,true,Alchohol and unknown drugs,DWI,D6,3068,522,520,NORTHWEST,2468913.508,6994736.764,POINT (-96.870135 32.846191),6,3
1154,75202,UF2019-0738,57967,06/02/2019,12:30 AM,11238,Male,Black,11/30/2016,false,No injuries noted or visible,false,Service Call,Hand Controlled Escort,Arrest,NULL,Yes,302,HOUSTON,S,St.,302 S HOUSTON St.,58759,Black,Female,false,No injuries noted or visible,true,Agitated,"Assault, Crim Trespass/Bldg/Prop",D14,2070,133,130,CENTRAL,2488697.979,6969901.37,POINT (-96.807308 32.777106),12,3
2119,75228,UF2019-1318,61082,10/05/2019,5:15 PM,10673,Male,Hispanic,09/25/2013,false,No injuries noted or visible,false,Service Call,Taser Display at Person,Other,NULL,Yes,8303,E. RL Thornton,W,Frwy.,8303 W E. RL Thornton Frwy.,60201,Black,Male,false,No injuries noted or visible,false,None detected,No Arrest,D7,1204,238,230,NORTHEAST,2522033.639,6976630.802,POINT (-96.698262 32.794568),7,3
2140,75211,UF2019-1334,60586,09/15/2019,10:55 PM,11349,Male,Black,07/26/2017,false,No injuries noted or visible,false,Service Call,Take Down - Body,Active Aggression,NULL,Yes,4444,Illinois,W,Ave.,4444 W Illinois Ave.,59978,Hispanic,Female,false,No injuries noted or visible,true,Alchohol,"Assault/Public Servant, Assault/FV",D3,8820,432,430,SOUTHWEST,2462687.962,6948784.192,POINT (-96.893857 32.720321),3,3
2858,75210,UF2019-1724,"62594, 62595, 62596",12/14/2019,12:40 AM,9994,Male,White,09/30/2009,false,No injuries noted or visible,false,Service Call,"Hand Controlled Escort, Verbal Command, Held Suspect Down",Arrest,NULL,"No, No, Yes",2700,2nd,NULL,Ave.,2700 2nd Ave.,60987,Black,Male,false,No injuries noted or visible,true,Unknown Drugs,"Public Intoxication, Other Felony Arrest",D7,2139,312,310,SOUTHEAST,2505741.68,6966642.557,,,
432,75228,UF2019-0275,"56032, 56033, 56034",03/17/2019,10:40 PM,11506,Male,White,05/02/2018,false,No injuries noted or visible,false,Arrest,"Verbal Command, Take Down - Arm, Joint Locks",Arrest,NULL,"No, Yes, Yes",7229,Ferguson,NULL,Rd.,7229 Ferguson Rd.,57833,Black,Male,true,Abrasion/Scrape,true,Alchohol,"Assault/FV, Resisting Arrest, Warrant/Hold",D9,1197,237,230,NORTHEAST,2514871.023,6976968.51,POINT (-96.721215 32.79592),7,3
2272,75202,UF2019-1366,"60191, 60192, 60193",09/01/2019,10:06 PM,11233,Male,White,11/02/2016,false,No injuries noted or visible,false,Call for Cover,"Foot Pursuit, Take Down - Body, Verbal Command",Detention/Frisk,NULL,"Yes, Yes, No",800,Main,NULL,St.,800 Main St.,4623359813,Black,Male,true,Sprain/Strain,true,None detected,"Evading Arrest, Resisting Arrest",D14,2060,131,130,CENTRAL,2489378.44,6970686.13,POINT (-96.80517 32.779398),12,3
2431,75216,UF2019-1468,"60801, 60802, 60803",09/24/2019,7:15 PM,10400,Male,White,06/20/2012,false,No injuries noted or visible,false,Service Call,"Verbal Command, Joint Locks, Feet/Leg/Knee Strike",Detention/Frisk,NULL,"No, No, Yes",4422,Marsalis,S,Ave.,4422 S Marsalis Ave.,56943,Black,Female,false,No injuries noted or visible,true,Mentally unstable,Robbery,D4,4321,751,750,SOUTH CENTRAL,2486976.633,6938418.254,POINT (-96.814589 32.690716),4,3
